Identifier,Percent,BST,Equal,Insert Tree,Search Tree,Search Item,Delete Tree,Size,Depth,Parent,Max,Delete,AVL,AVL2,Extra,A&DS,Testing,Style
Participant 13126631,No data available;,You are at the top 94.75% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 97.51% of everyone;
Participant 13126578,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 97.51% of everyone;
Participant 13126691,No data available;,You are at the top 99.17% of everyone;,You are at the top 96.27% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 97.51% of everyone;
Participant 13126561,No data available;,You are at the top 68.23% of everyone;,You are at the top 10.87% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 99.69% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 97.51% of everyone;
Participant 13126610,No data available;,You are at the top 94.75% of everyone;,You are at the top 96.27% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 14.29% of everyone;,You are at the top 100.0% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 97.51% of everyone;
Participant 13126689,No data available;,You are at the top 99.17% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 97.51% of everyone;
Participant 13126618,No data available;,You are at the top 68.23% of everyone;,You are at the top 96.27% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 88.82% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 97.51% of everyone;
Participant 13126664,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 91.16% of everyone;
Participant 13126545,No data available;,You are at the top 56.08% of everyone;,You are at the top 10.87% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 53.87% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 49.69% of everyone;,You are at the top 54.35% of everyone;,You are at the top 97.51% of everyone;
Participant 13126697,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 91.16% of everyone;
Participant 13126644,No data available;,You are at the top 68.23% of everyone;,You are at the top 96.27% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 91.16% of everyone;
Participant 13126657,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 97.51% of everyone;
Participant 13126581,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 97.51% of everyone;
Participant 13126682,No data available;,You are at the top 34.81% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 6.21% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 91.16% of everyone;
Participant 13126711,No data available;,You are at the top 94.75% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 91.16% of everyone;
Participant 13126713,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 91.16% of everyone;
Participant 13126708,No data available;,You are at the top 76.52% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 91.16% of everyone;
Participant 13126650,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 91.16% of everyone;
Participant 13126573,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126564,No data available;,You are at the top 94.75% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 100.0% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126712,No data available;,You are at the top 100.0% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 99.69% of everyone;,You are at the top 88.82% of everyone;,You are at the top 99.69% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 91.16% of everyone;
Participant 13126614,No data available;,You are at the top 26.24% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 8.07% of everyone;,You are at the top 8.39% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 99.69% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 91.16% of everyone;
Participant 13126665,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126539,No data available;,You are at the top 56.08% of everyone;,You are at the top 10.87% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 71.55% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 91.16% of everyone;
Participant 13126705,No data available;,You are at the top 94.75% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 39.78% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 36.34% of everyone;,You are at the top 36.65% of everyone;,You are at the top 87.29% of everyone;
Participant 13126562,No data available;,You are at the top 68.23% of everyone;,You are at the top 96.27% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126601,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
